dialogue,utterance,all_events
Quinn turn the scale upside down at the market angrily because he think he be be cheat .,Quinn>>turn>>the>>scale>>upside>>down>>at>>the>>market>>angrily>>because>>he>>think>>he>>be>>be>>cheat>>.,Alex decides to cheat||Alex asks Jesse to turn it down||Alex feels cheated||Alex accuses  of cheating||Alex turns the scale
ash always eat with her bed - bind mother .,ash>>always>>eat>>with>>her>>bed>>->>bind>>mother>>.,Alex binds the  together||Alex always ate ||Alex rises from the ashes||Alex always ate||Alex binds together the 
"Alex be ignore Jordan yesterday , but Jordan demand Alex 's attention .","Alex>>be>>ignore>>Jordan>>yesterday>>,>>but>>Jordan>>demand>>Alex>>'s>>attention>>.",Alex demands Jesse's attention
Alex tell Jesse the reason so mad last night .,Alex>>tell>>Jesse>>the>>reason>>so>>mad>>last>>night>>.,Alex gets so mad||Alex tells Jesse the reason||Alex is  last night||Alex tells Jesse last night||Alex tells  last night
ash use logical thought throughout the writing of the fantasy book .,ash>>use>>logical>>thought>>throughout>>the>>writing>>of>>the>>fantasy>>book>>.,Alex writes a book||Alex discusses throughout this book||Alex uses throughout this book||Alex uses throughout the book||Alex writes books
"walk through the park , Alex could hear the band that have trumpet .","walk>>through>>the>>park>>,>>Alex>>could>>hear>>the>>band>>that>>have>>trumpet>>.",Alex thinks could hear||Alex walks in the park||Alex is walking through the park||Alex plays the trumpet||Alex walks in the park ||Alex is walking in the park||Alex learns to play the trumpet||Alex is walking to the park
Alex and Aubrey love challenge each other .   this time it be arm wrestling .,Alex>>and>>Aubrey>>love>>challenge>>each>>other>>.>>this>>time>>it>>be>>arm>>wrestling>>.,Alex wrestles with a pig||Alex works each day||Alex enjoys each other 's company||Alex exceeds  for each person||Alex watches wrestling
Alex turn and look at skylar in a way that be suggestive and not polite .,Alex>>turn>>and>>look>>at>>skylar>>in>>a>>way>>that>>be>>suggestive>>and>>not>>polite>>.,Alex plays a  in politics||Alex asks  for suggestions||Alex turns and looked at Jesse||Alex suggests another ||Alex looks the other way||Alex looks both ways
sasha be bore so she give Alex a haircut for free .,sasha>>be>>bore>>so>>she>>give>>Alex>>a>>haircut>>for>>free>>.,Alex gives  a haircut||Alex gives bob||Alex gives Jesse a haircut||Alex gives bob 
Sasha get revenge on the people by put some sand in their food at lunch .,Sasha>>get>>revenge>>on>>the>>people>>by>>put>>some>>sand>>in>>their>>food>>at>>lunch>>.,Alex gets revenge||Alex puts food||Alex makes some food||Alex gets sand||Alex gets some fast food||Alex gets some food||Alex orders some food||Alex eats some food||Alex buys some food
Alex teach math in the school after study to be a teacher for four year .,Alex>>teach>>math>>in>>the>>school>>after>>study>>to>>be>>a>>teacher>>for>>four>>year>>.,Alex is four years old||Alex teaches  for years||Alex studies  for years||Alex is an elementary school teacher||Alex is a school teacher
Tracy give birth to Addison in the hospital last week .,Tracy>>give>>birth>>to>>Addison>>in>>the>>hospital>>last>>week>>.,Alex gives birth||Alex starts last week||Alex buys  last week||Alex starts  last week||Alex makes  last week
Alex get to the yard and stop the dog fight before someone else .,Alex>>get>>to>>the>>yard>>and>>stop>>the>>dog>>fight>>before>>someone>>else>>.,Alex stops the fight||Alex gets someone else||Alex gets someone else||Alex is someone else 's ||Alex stops fighting||Alex finds someone else
Alex eat a fish burger from a street vendor and at the time be concern it do not smell right but decide to eat it anyway .   later that day he start to feel unwell .,Alex>>eat>>a>>fish>>burger>>from>>a>>street>>vendor>>and>>at>>the>>time>>be>>concern>>it>>do>>not>>smell>>right>>but>>decide>>to>>eat>>it>>anyway>>.>>later>>that>>day>>he>>start>>to>>feel>>unwell>>.,Alex eats it anyway||Alex starts my day||Alex eats it anyways||Alex starts feeling sick||Alex eats Jesse anyway||Alex eats burgers||Alex eats  anyway||Alex starts feeling better||Alex orders a burger||Alex sees Jesse later that day||Alex eats it anyways||Alex eats a burger||Alex eats burgers||Alex eats a burger||Alex eats  anyway||Alex makes burgers||Alex eats it anyway||Alex eats fish||Alex starts the day
Alex buy a new watch for Jesse and put it on their wrist .,Alex>>buy>>a>>new>>watch>>for>>Jesse>>and>>put>>it>>on>>their>>wrist>>.,Alex stops watching the news||Alex buys a new watch||Alex puts it on Alex's wrist||Alex puts  on Alex's wrist||Alex puts  on Jesse's wrist||Alex puts it on Jesse's wrist||Alex watches the news ||Alex is watching the news||Alex watches the news
jan go to the same school for year so she be good friend with a girl .,jan>>go>>to>>the>>same>>school>>for>>year>>so>>she>>be>>good>>friend>>with>>a>>girl>>.,Alex buys  for the new school year||Alex is best friends||Alex impresses a girl at school||Alex looks so good||Alex is a good friend||Alex is best friends for years||Alex becomes so good||Alex starts the school year||Alex goes every year||Alex goes back years||Alex is best friends for years||Alex becomes best friends||Alex goes this year||Alex is the best of friends||Alex smells so good
Alex pay another bill for the other so they would not get kick out .,Alex>>pay>>another>>bill>>for>>the>>other>>so>>they>>would>>not>>get>>kick>>out>>.,Alex gets a kick out of ||Alex pays bills||Alex pays the bill||Alex would n't budge||Alex would n't come out||Alex gets kicked out||Alex kicks  out of the house
Jan come over one night . the house be messy and smelled .,Jan>>come>>over>>one>>night>>.>>the>>house>>be>>messy>>and>>smelled>>.,Alex gets messy||Alex comes  at night||Alex comes  that night||Alex comes over last night||Alex comes  night||Alex comes  last night
Remy be prepare for the test and they take it and get a very good grade on it .,Remy>>be>>prepare>>for>>the>>test>>and>>they>>take>>it>>and>>get>>a>>very>>good>>grade>>on>>it>>.,Alex prepares for the test||Alex gets a good grade||Alex gets good grades||Alex makes a good grade||Alex gets very good||Alex makes good grades
Addison be at a party with friend but know they have to get up early in the morning for work so Addison say their goodbye then leave for home .,Addison>>be>>at>>a>>party>>with>>friend>>but>>know>>they>>have>>to>>get>>up>>early>>in>>the>>morning>>for>>work>>so>>Addison>>say>>their>>goodbye>>then>>leave>>for>>home>>.,Alex leaves at home||Alex leaves home||Alex starts early in the morning||Alex says goodbye||Alex says Jesse's goodbyes||Alex leaves work early||Alex leaves for home||Alex leaves early in the morning||Alex works this morning||Alex leaves  at home||Alex waves goodbye||Alex says goodbye to Jesse||Alex says would leave||Alex leaves early in the morning||Alex wakes up early this morning||Alex works  morning
Skylar wear it to school to show his school spirit on game day .,Skylar>>wear>>it>>to>>school>>to>>show>>his>>school>>spirit>>on>>game>>day>>.,Alex wears  to school||Alex schools every day||Alex plays games all day||Alex schools the next day||Alex is the last day of school||Alex wears it to school||Alex wears Jesse to school||Alex wears  to school the next day||Alex is the last day of school
quinn be bored of wear pant so she wear jean to school the next day .,quinn>>be>>bored>>of>>wear>>pant>>so>>she>>wear>>jean>>to>>school>>the>>next>>day>>.,Alex wears ripped jeans||Alex wears pants||Alex wears long pants||Alex wears  the next day||Alex schools the next day||Alex wears pants||Alex wears ripped jeans||Alex wears  to school the next day||Alex wears  the next day||Alex wears long pants||Alex goes to school the next day||Alex wears  to school the next day
Alex walk Alex towards the execution chamber for her last meal .,Alex>>walk>>Alex>>towards>>the>>execution>>chamber>>for>>her>>last>>meal>>.,Alex walks towards Jesse||Alex walks toward Jesse||Alex walks toward Jesse||Alex walks towards Jesse||Alex walks toward the house||Alex walks toward the house||Alex walks toward the door||Alex walks towards it||Alex walks toward the door
Remy answer the silly question they be ask happily .,Remy>>answer>>the>>silly>>question>>they>>be>>ask>>happily>>.,Alex answers Jesse questions||Alex answers the question||Alex answers Jesse question||Alex answers questions||Alex answers the questions
Kendall take Skylar 's schedule into account when plan the trip for their summer vacation .,Kendall>>take>>Skylar>>'s>>schedule>>into>>account>>when>>plan>>the>>trip>>for>>their>>summer>>vacation>>.,Alex plans the trip||Alex plans Alex's vacation||Alex plans a vacation||Alex plans a trip||Alex is planning a trip||Alex plans Alex's vacation
Alex to prison for 25 year for armed robbery and pay their debt to society .,Alex>>to>>prison>>for>>25>>year>>for>>armed>>robbery>>and>>pay>>their>>debt>>to>>society>>.,Alex pays Alex's debt||Alex pays Alex's debt to society||Alex goes every year||Alex goes back years||Alex pays Alex's debts||Alex goes this year||Alex pays Jesse's debts||Alex pays Jesse debts
Addison have a day off work and decide to go to a theme park .,Addison>>have>>a>>day>>off>>work>>and>>decide>>to>>go>>to>>a>>theme>>park>>.,Alex loves going to the park||Alex decides to go to the park||Alex has a hard day at work||Alex has a bad day at work||Alex is going to the park||Alex has a long day at work||Alex wants to go to the park||Alex has to go to work||Alex decides to go to the park||Alex takes the day off from work||Alex has the day off from work||Alex is at a theme park
Alex go on a camping trip with their cousin . Alex grow close to their cousin that weekend .,Alex>>go>>on>>a>>camping>>trip>>with>>their>>cousin>>.>>Alex>>grow>>close>>to>>their>>cousin>>that>>weekend>>.,Alex is going on a trip||Alex goes camping||Alex grows close||Alex is on a camping trip||Alex is going camping||Alex spends the weekend||Alex is going on a camping trip||Alex spends a weekend||Alex grows closer||Alex visits  this weekend
Remy take this job seriously and she be fire .,Remy>>take>>this>>job>>seriously>>and>>she>>be>>fire>>.,Alex takes seriously the ||Alex takes the  seriously||Alex takes this  seriously||Alex takes it seriously||Alex takes  seriously
Alex be really hungry so she eat Jesse 's bread .,Alex>>be>>really>>hungry>>so>>she>>eat>>Jesse>>'s>>bread>>.,Alex eats so much||Alex eats Jesse's bread||Alex eats Alex's bread||Alex is really hungry||Alex eats bread
Jan start to put the move on the new boy at school because they be wildly attract to the boy .,Jan>>start>>to>>put>>the>>move>>on>>the>>new>>boy>>at>>school>>because>>they>>be>>wildly>>attract>>to>>the>>boy>>.,Alex attracts  at the time||Alex likes a boy||Alex is moving into a new house||Alex meets a boy||Alex attracts every ||Alex puts the moves on ||Alex is moving into a new home||Alex attracts  by offering||Alex moves to a new school||Alex attracts  away||Alex sees a boy||Alex is a little boy||Alex is new at school||Alex wants a boy
Jan go out with Quinn 's friend and tell them a lot of negative rumor about Quinn .,Jan>>go>>out>>with>>Quinn>>'s>>friend>>and>>tell>>them>>a>>lot>>of>>negative>>rumor>>about>>Quinn>>.,Alex answers this  in the negative||Alex goes out with Jesse's friends||Alex is going out with friends||Alex tells Jesse not to worry about it||Alex comes back negative||Alex tells Alex's friends about it||Alex tells Alex's friends about it||Alex lets them have it||Alex tells Jesse's friends about it
Alex interfere with Jesse by block her way to the teacher desk .,Alex>>interfere>>with>>Jesse>>by>>block>>her>>way>>to>>the>>teacher>>desk>>.,Alex storms out of the blocks||Alex interferes in Jesse way||Alex prevents  from interfering
Skylar enter the principal 's office at school to receive the appropriate discipline .,Skylar>>enter>>the>>principal>>'s>>office>>at>>school>>to>>receive>>the>>appropriate>>discipline>>.,Alex goes to the principal 's office||Alex sends to the principal 's office||Alex is sent to the principal 's office||Alex makes Jesse appropriation||Alex goes the principal 's office||Alex sends  to the principal 's office
Alex plan the trip on behalf of the entire group .,Alex>>plan>>the>>trip>>on>>behalf>>of>>the>>entire>>group>>.,Alex plans the trip||Alex plans a trip||Alex is planning a trip||Alex plans Alex's next trip||Alex plans Alex's trip
"because he be very good at throw gala , and his good friend ask him , Alex plan a wedding .","because>>he>>be>>very>>good>>at>>throw>>gala>>,>>and>>his>>good>>friend>>ask>>him>>,>>Alex>>plan>>a>>wedding>>.",Alex becomes very good||Alex tastes very good||Alex plans the wedding||Alex is best friends||Alex is a good friend||Alex plans Jesse's wedding||Alex is the best of friends||Alex feels very good||Alex plans a wedding||Alex plays  with his friends||Alex is planning Alex's wedding||Alex is a good friend||Alex gets very good||Alex asks a friend||Alex becomes very good||Alex tastes very good||Alex is best friends||Alex is the best of friends||Alex is planning Jesse's wedding||Alex is n't a very good cook
Jordan love photography and want to get a new equipment .,Jordan>>love>>photography>>and>>want>>to>>get>>a>>new>>equipment>>.,Alex loves photography
Kai light a fire and it blow up .,Kai>>light>>a>>fire>>and>>it>>blow>>up>>.,Alex lights a fire under ||Alex blows up Jesse's phone||Alex lights a fire||Alex lights  on fire||Alex dries up and blow away
"Alex pick Jesse up from the airport , put her luggage in the trunk , and take her home .","Alex>>pick>>Jesse>>up>>from>>the>>airport>>,>>put>>her>>luggage>>in>>the>>trunk>>,>>and>>take>>her>>home>>.",Alex picks  up from school||Alex picks Jesse up at the airport||Alex picks Jesse up from the airport||Alex picks Jesse up from school||Alex picks  up from work
Alex take Jesse 's complaint of dangerous working condition in the factory seriously .,Alex>>take>>Jesse>>'s>>complaint>>of>>dangerous>>working>>condition>>in>>the>>factory>>seriously>>.,Alex takes seriously the ||Alex takes the  seriously||Alex takes this  seriously||Alex takes it seriously||Alex takes  seriously
Remy take this story into account and type it into the computer that night .,Remy>>take>>this>>story>>into>>account>>and>>type>>it>>into>>the>>computer>>that>>night>>.,Alex takes these  into account||Alex takes into account the ||Alex takes the  into account||Alex takes the computer||Alex takes  into account||Alex depends upon the type||Alex takes into account 
"Alex be save for a car because theirs break down , so Alex save all their money .","Alex>>be>>save>>for>>a>>car>>because>>theirs>>break>>down>>,>>so>>Alex>>save>>all>>their>>money>>.",Alex saves so much money||Alex saves the money||Alex saves the money||Alex saves money||Alex saves all year||Alex saves all Alex's money||Alex needs to save money||Alex saves all year||Alex finally broke down||Alex saves money||Alex saves all Alex's money
Alex never tell Jesse the truth about what happen last night .,Alex>>never>>tell>>Jesse>>the>>truth>>about>>what>>happen>>last>>night>>.,Alex tells the truth||Alex tells Jesse what had happened||Alex tells Jesse what happened||Alex makes  last night||Alex sees what happened||Alex knows what happened||Alex asks  what happened||Alex is  last night||Alex plays  last night||Alex tells Jesse last night||Alex tells  last night||Alex sees  last night||Alex sees what was happening||Alex explains what happened||Alex sleeps last night
Alex challenge Jesse to a fight after school for hit on his girlfriend .,Alex>>challenge>>Jesse>>to>>a>>fight>>after>>school>>for>>hit>>on>>his>>girlfriend>>.,Alex practices  after school||Alex fights Jesse after school||Alex plays after school||Alex challenges  to a fight||Alex plays  after school
Alex give his friend a high five after his friend make a basket in their game .,Alex>>give>>his>>friend>>a>>high>>five>>after>>his>>friend>>make>>a>>basket>>in>>their>>game>>.,Alex gives Jesse his head||Alex says hi||Alex plays  with his friends||Alex gets a basket||Alex gives the devil his due||Alex makes a basket||Alex plays  with his friends||Alex gives  a high five
"Alex be a attractive girl who have a crush on me , so she bat her eyelash at me .","Alex>>be>>a>>attractive>>girl>>who>>have>>a>>crush>>on>>me>>,>>so>>she>>bat>>her>>eyelash>>at>>me>>.",Alex bats Alex's eyelashes||Alex has a crush on a girl||Alex takes it from me||Alex has a baby girl||Alex bats an eyelash||Alex has a crush on a girl named Jesse||Alex takes it from me||Alex has a crush on a boy||Alex has a big crush on Jesse||Alex has a crush on a girl||Alex has a huge crush on Jesse
Alex see Jesse last night while they be on a date with someone who be not their spouse .,Alex>>see>>Jesse>>last>>night>>while>>they>>be>>on>>a>>date>>with>>someone>>who>>be>>not>>their>>spouse>>.,Alex sees someone||Alex makes  last night||Alex is  last night||Alex plays  last night||Alex sees  last night
Alex want to stop by the lake to feed the duck so she take the long way home .,Alex>>want>>to>>stop>>by>>the>>lake>>to>>feed>>the>>duck>>so>>she>>take>>the>>long>>way>>home>>.,Alex fees ducks||Alex fees ducks||Alex takes longer||Alex takes  to the lake||Alex comes a long way||Alex goes a long way||Alex wants Jesse to stop||Alex takes so long||Alex takes  to the lake||Alex swims in the lake||Alex drives to the lake||Alex goes to the park to feed the ducks||Alex takes long||Alex fees the ducks||Alex takes the long way home||Alex is taking so long
Jesse be teach class and use the lesson through out the book .,Jesse>>be>>teach>>class>>and>>use>>the>>lesson>>through>>out>>the>>book>>.,Alex uses throughout this book||Alex teaches the  a lesson||Alex teaches Jesse a lesson||Alex teaches  a lesson||Alex uses throughout the book||Alex teaches  to use||Alex teaches Jesse a lesson||Alex teaches the class
Alex know Jesse be ignorant so he fill Jesse 's mind with dangerous idea .,Alex>>know>>Jesse>>be>>ignorant>>so>>he>>fill>>Jesse>>'s>>mind>>with>>dangerous>>idea>>.,Alex fills Alex's mind||Alex fills Jesse's mind||Alex knows Alex's mind||Alex knows Alex's own mind||Alex warns Jesse of the danger
Jan move to a new town and find to friend .,Jan>>move>>to>>a>>new>>town>>and>>find>>to>>friend>>.,Alex finds friends||Alex is new in town||Alex just moved to a new town||Alex moves to a new town||Alex has just moved to a new town||Alex is moving to a new town
Kai sell his tv to the bidder on eBay after a month have pass .,Kai>>sell>>his>>tv>>to>>the>>bidder>>on>>eBay>>after>>a>>month>>have>>pass>>.,Alex sells  on ebay||Alex has passed the test||Alex sells it on ebay||Alex has passed away||Alex sells Jesse on ebay||Alex sells Alex's  to the bidder||Alex sells things on ebay
Alex have move away from home a few month ago and he have the blue .,Alex>>have>>move>>away>>from>>home>>a>>few>>month>>ago>>and>>he>>have>>the>>blue>>.,Alex moves away from home||Alex moves away from Jesse||Alex is away from home||Alex has the blues||Alex is  away from home||Alex runs away from home||Alex has the blues
Jan give birth to his first a daughter last Monday .,Jan>>give>>birth>>to>>his>>first>>a>>daughter>>last>>Monday>>.,Alex gives birth||Alex gives Jesse birth||Alex gives birth to Jesse||Alex gives birth to a Jesse||Alex gives birth to a daughter
Alex be the good of friend with his pal and have a good heart .,Alex>>be>>the>>good>>of>>friend>>with>>his>>pal>>and>>have>>a>>good>>heart>>.,Alex is best friends||Alex is best friends for years||Alex is a good friend||Alex has a best friend named Jesse||Alex is the best of friends||Alex has a heart condition||Alex plays  with his friends||Alex has a heart||Alex has a best friend||Alex has a heart attack||Alex is best friends||Alex is the best of friends||Alex is a good friend
Alex be make extra money by babysitte Jesse 's kid for the summer .,Alex>>be>>make>>extra>>money>>by>>babysitte>>Jesse>>'s>>kid>>for>>the>>summer>>.,Alex needs extra money||Alex makes a little extra money||Alex makes some extra money||Alex is babysitting for a new family||Alex spends the summer||Alex earns extra money||Alex is at summer camp||Alex makes extra money
Carson put food on the table for their family and child at dinnertime .,Carson>>put>>food>>on>>the>>table>>for>>their>>family>>and>>child>>at>>dinnertime>>.,Alex puts food on the table||Alex puts food||Alex puts Jesse on the table||Alex puts  on the table||Alex puts it on the table
Kai have get into bed and feel relaxed .,Kai>>have>>get>>into>>bed>>and>>feel>>relaxed>>.,Alex feels more relaxed||Alex feels very relaxed||Alex gets ready for bed||Alex feels relaxed
Alex see Jesse and regard Jesse with hurtful eye after what happen .,Alex>>see>>Jesse>>and>>regard>>Jesse>>with>>hurtful>>eye>>after>>what>>happen>>.,Alex regards Jesse with eyes||Alex regards Jesse as one||Alex regards Jesse with eyes||Alex regards every ||Alex sees what was happening||Alex sees what had happened||Alex sees what would happen||Alex provides  in regard||Alex provides  with regard||Alex sees what happened
Alex continue play with the ball even after it become deflate .,Alex>>continue>>play>>with>>the>>ball>>even>>after>>it>>become>>deflate>>.,Alex continues playing||Alex plays ball||Alex is playing ball||Alex plays kick ball||Alex continues to play||Alex continues even 
Alex take Jesse 's complaint seriously after Jesse come to her cry about the event .,Alex>>take>>Jesse>>'s>>complaint>>seriously>>after>>Jesse>>come>>to>>her>>cry>>about>>the>>event>>.,Alex takes seriously the ||Alex takes the  seriously||Alex attends the event||Alex cries and cried||Alex takes this  seriously||Alex takes it seriously||Alex takes  seriously
Alex and Jesse be at a scary movie and Alex grab Jesse 's hand .,Alex>>and>>Jesse>>be>>at>>a>>scary>>movie>>and>>Alex>>grab>>Jesse>>'s>>hand>>.,Alex is watching a scary movie||Alex grabs Jesse 's hand||Alex grabs Jesse's hand||Alex grabs Jesse's hands||Alex grabs Jesse hand||Alex watches a scary movie||Alex watches scary movies||Alex likes scary movies||Alex sees a scary movie
Taylor attend their father 's birthday party so that their father would feel that they be love .,Taylor>>attend>>their>>father>>'s>>birthday>>party>>so>>that>>their>>father>>would>>feel>>that>>they>>be>>love>>.,Alex attends a party||Alex would love it||Alex imagines would feel||Alex loves  so much||Alex loves it so much||Alex becomes a father||Alex attends Alex's father 's ||Alex would love Jesse||Alex feels so bad||Alex attends the party||Alex feels so good||Alex attends Jesse's father 's 
Taylor piss on Alex 's bonfire after get into a fight with Alex over a girl .,Taylor>>piss>>on>>Alex>>'s>>bonfire>>after>>get>>into>>a>>fight>>with>>Alex>>over>>a>>girl>>.,Alex fights Jesse after school||Alex fights Jesse after school||Alex pisses in Jesse's cornflakes||Alex pisses on Jesse's bonfire||Alex gets  after school||Alex really pissed Jesse
Jesse make popcorn for them and Alex before they be go to watch a movie .,Jesse>>make>>popcorn>>for>>them>>and>>Alex>>before>>they>>be>>go>>to>>watch>>a>>movie>>.,Alex makes popcorn||Alex watches a movie||Alex is watching a movie||Alex watches movies||Alex watches movies ||Alex watches a movie 
Alex give her some milk to try to get the baby to stop cry .,Alex>>give>>her>>some>>milk>>to>>try>>to>>get>>the>>baby>>to>>stop>>cry>>.,Alex stops trying||Alex gets milk||Alex tries to stop||Alex gives  some milk||Alex would n't stop crying||Alex cries and cried||Alex stops and get ||Alex cries like a baby||Alex stops crying||Alex stops and get||Alex buys some milk
Alex feel bad after stay up to late the night before .,Alex>>feel>>bad>>after>>stay>>up>>to>>late>>the>>night>>before>>.,Alex stays late||Alex stays up all night studying||Alex keeps  up at night||Alex stays after school||Alex stays after class||Alex stays the night||Alex is late at night
someone steal Alex 's purse and she be able to snatch it back right away .,someone>>steal>>Alex>>'s>>purse>>and>>she>>be>>able>>to>>snatch>>it>>back>>right>>away>>.,Alex orders  right away||Alex makes  right away||Alex steals Jesse away||Alex snatches  away||Alex knows right away||Alex steals Jesse's purse||Alex notices right away
Alex give his mom a special gift for their birthday that year .,Alex>>give>>his>>mom>>a>>special>>gift>>for>>their>>birthday>>that>>year>>.,Alex gives Jesse a special gift||Alex gives  a gift||Alex gives the gift||Alex gives  a special gift||Alex gives gifts
"Alex be the grandmother of Alex , who have two child but be a drug and neglect the kid .","Alex>>be>>the>>grandmother>>of>>Alex>>,>>who>>have>>two>>child>>but>>be>>a>>drug>>and>>neglect>>the>>kid>>.",Alex has two children||Alex takes Jesse's two kids||Alex takes Jesse's two kids||Alex takes Alex's two kids||Alex has one child||Alex uses drugs||Alex has two kids||Alex has two cats||Alex has two kids||Alex takes Alex's two kids||Alex does drugs||Alex wants to have a child
"Alex think hard , then ask her parent for advice .","Alex>>think>>hard>>,>>then>>ask>>her>>parent>>for>>advice>>.",Alex asks Jesse advice||Alex asks Jesse's advice||Alex thinks hard||Alex asks my parents||Alex thinks long and hard||Alex asks  for advice||Alex asks  for some advice
"Alex have a stressful day at work , so Alex go to a friend 's house to play video game .","Alex>>have>>a>>stressful>>day>>at>>work>>,>>so>>Alex>>go>>to>>a>>friend>>'s>>house>>to>>play>>video>>game>>.",Alex plays a video game||Alex plays video games||Alex has a hard day at work||Alex is playing a video game||Alex has a bad day at work||Alex has a long day at work||Alex has the day off from work||Alex works for days||Alex is playing video games||Alex plays video games ||Alex plays video games with Jesse's friends||Alex plays video games with Alex's friends||Alex plays video games all day
Alex open a saving account after learn about get interest on their money .,Alex>>open>>a>>saving>>account>>after>>learn>>about>>get>>interest>>on>>their>>money>>.,Alex looks after Jesse's interests||Alex about to get married||Alex looks after Alex's interests||Alex saves the money||Alex opens a savings account||Alex opens Jesse account||Alex throws good money after bad||Alex learns about history||Alex saves money||Alex is about to get married||Alex gets  after school
Alex have lose their job so they have a yard sell and sell thing .,Alex>>have>>lose>>their>>job>>so>>they>>have>>a>>yard>>sell>>and>>sell>>thing>>.,Alex makes  to sell||Alex is selling cookies||Alex sells things on ebay||Alex is selling lemonade||Alex is having a yard sale||Alex has a yard sale||Alex decides to have a yard sale||Alex sells things||Alex has a yard sale||Alex has lost Alex's job||Alex sells things on ebay||Alex loses Jesse job||Alex has lost Alex's job||Alex loses Alex's jobs||Alex is having a yard sale||Alex sells things||Alex loses Alex's job||Alex loses Alex's job 
Tracy just get her driver 's license and a new car . Tracy be drive to school now .,Tracy>>just>>get>>her>>driver>>'s>>license>>and>>a>>new>>car>>.>>Tracy>>be>>drive>>to>>school>>now>>.,Alex drives  to school||Alex is a race car driver||Alex drives to school||Alex has just gotten Alex's driver 's license||Alex drives  from school||Alex gets Jesse's driver 's license||Alex drives Jesse to school||Alex is driving to school||Alex gets a new car||Alex renews Alex's driver 's license||Alex has just gotten Alex's driver 's license||Alex just got a new job
Jordan tell a funny joke and his friend laugh very hard at it .,Jordan>>tell>>a>>funny>>joke>>and>>his>>friend>>laugh>>very>>hard>>at>>it>>.,Alex practices very hard||Alex plays  with his friends||Alex laughs hard||Alex tells the joke||Alex tells jokes||Alex is a very hard worker||Alex tells Alex's jokes||Alex tells a joke||Alex laughs so hard||Alex laughs and told
Alex take the high bid and sell Jesse 's house to the bidder .,Alex>>take>>the>>high>>bid>>and>>sell>>Jesse>>'s>>house>>to>>the>>bidder>>.,Alex sells the house||Alex sells Jesse's  to the bidder||Alex takes  in high school||Alex sells Alex's  to the bidder||Alex sells Jesse's house||Alex bids Jesse farewell
Bailey pass Alex an examination booklet during the final exam in biology class .,Bailey>>pass>>Alex>>an>>examination>>booklet>>during>>the>>final>>exam>>in>>biology>>class>>.,Alex passes Alex's exams||Alex passes Alex's exam||Alex passes the class||Alex passes Jesse examination||Alex passes the exam
Alex be a politician in charge of his electoral district whole role affect the people around him .,Alex>>be>>a>>politician>>in>>charge>>of>>his>>electoral>>district>>whole>>role>>affect>>the>>people>>around>>him>>.,Alex affects people 's ||Alex presses charges||Alex divides the  into districts
Alex spend the whole night try and after many hour finally solve the equation .,Alex>>spend>>the>>whole>>night>>try>>and>>after>>many>>hour>>finally>>solve>>the>>equation>>.,Alex spends a night||Alex spends that night||Alex spends hours||Alex spends the whole time||Alex solves Jesse equation||Alex spends an hour||Alex spends  trying||Alex spends many hours||Alex spends the night
Kai observe and improve Jan 's work .,Kai>>observe>>and>>improve>>Jan>>'s>>work>>.,Alex observes every 
Alex give a raise to all of the people that work at her company .,Alex>>give>>a>>raise>>to>>all>>of>>the>>people>>that>>work>>at>>her>>company>>.,Alex gives  to people||Alex gives Jesse a raise||Alex gives  a raise||Alex gives people||Alex gives people 
Alex be try to work a crossword puzzle and could not solve it ; he be frustrate .,Alex>>be>>try>>to>>work>>a>>crossword>>puzzle>>and>>could>>not>>solve>>it>>;>>he>>be>>frustrate>>.,Alex works as hard as Jesse could||Alex feels frustrated||Alex becomes frustrated||Alex gets frustrated||Alex is getting frustrated
Kendall go to the movie with Alex 's friend when Alex be away .,Kendall>>go>>to>>the>>movie>>with>>Alex>>'s>>friend>>when>>Alex>>be>>away>>.,Alex goes to the movies with Alex's friends||Alex sees a movie with Alex's friends||Alex goes to the movies with Jesse's friends||Alex is going to the movies||Alex sees a movie with Jesse's friends
Jordan have a hard time empathize with other people around them .,Jordan>>have>>a>>hard>>time>>empathize>>with>>other>>people>>around>>them>>.,Alex lets them have it||Alex has a hard time||Alex is having a hard time||Alex sees other people||Alex helps other people||Alex lets them have it
Alex and Addison start date .   Addison invite Alex on a camping trip with their friend .,Alex>>and>>Addison>>start>>date>>.>>Addison>>invite>>Alex>>on>>a>>camping>>trip>>with>>their>>friend>>.,Alex is going on a camping trip||Alex goes camping with friends||Alex is on a camping trip||Alex starts dating Jesse||Alex camps with friends||Alex starts dating||Alex starts to date||Alex camps with Jesse's friends
Alex take picture of all of the child at the birthday party .,Alex>>take>>picture>>of>>all>>of>>the>>child>>at>>the>>birthday>>party>>.,Alex throws a birthday party||Alex takes pictures||Alex is having a birthday party||Alex takes a picture||Alex has a birthday party
it be time to end work for Alex and Jesse take over for them .,it>>be>>time>>to>>end>>work>>for>>Alex>>and>>Jesse>>take>>over>>for>>them>>.,Alex works full time||Alex works part time||Alex works all the time||Alex makes it to work on time||Alex gets to work on time||Alex takes  at the end||Alex lets them have it||Alex takes time off from work
